title,vendedor,precio,ubicacion_pais,ubicacion_ciudad,horometro,año_fabricacion,link
EXCAVADORA JCB  EXCAVADORA,EQUIPO MARKETPLACE,127000,perú,lima,16,2021,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/24931
IMPLEMENTO FOTON  TOLVA DE VOLQUETE TX3239,EQUIPO MARKETPLACE,10000,perú,lima,13000,2013,https://www.be-market.com/tiendaonline/webapp/detalle/implemento/148103
EXCAVADORA VOLVO  EC350DL,SK RENTAL,177706,perú,lima,7204,2021,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/147868
CAMION VOLQUETE CATERPILLAR  D250E,EQUIPO MARKETPLACE,29661,perú,puerto maldonado,14000,1995,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/147958
CAMION VOLQUETE MERCEDES BENZ  ACTROS 3344K,EQUIPO MARKETPLACE,80000,perú,lima,9250,2013,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/148050
MONTACARGAS HANGCHA  CPQYD30-XRW22,EQUIPO MARKETPLACE,17797,perú,arequipa metropolitana,1622,2021,https://www.be-market.com/tiendaonline/webapp/detalle/montacargas/48152
GENERADOR CATERPILLAR  3406,EQUIPO MARKETPLACE,22500,perú,lima,10456,2006,https://www.be-market.com/tiendaonline/webapp/detalle/generador/96501
GENERADOR CUMMINS  MH-120Ci,EQUIPO MARKETPLACE,21000,perú,lima,N/A,2023,https://www.be-market.com/tiendaonline/webapp/detalle/generador/148267
GENERADOR CUMMINS  MH-176Ci,EQUIPO MARKETPLACE,25989,perú,lima,N/A,2023,https://www.be-market.com/tiendaonline/webapp/detalle/generador/148292
EXCAVADORA VOLVO  EC220DL M,SK RENTAL,128529,perú,lima,5884,2021,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/114891
TORRE ILUMINACION STORIKE  4VA4000,EQUIPO MARKETPLACE,6100,perú,lima,N/A,2024,https://www.be-market.com/tiendaonline/webapp/detalle/torre-iluminacion/148518
EXCAVADORA VOLVO  EC350DL,SK RENTAL,226324,perú,lima,6676,2022,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/148233
CAMION SERVICIO VOLVO  VM330,EQUIPO MARKETPLACE,89831,perú,cusco,4692,2022,https://www.be-market.com/tiendaonline/webapp/detalle/camion-servicio/148355
CARGADOR JCB  467zx,EQUIPO MARKETPLACE,140000,perú,lima,6281,2015,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/148026
GENERADOR FAW  EH23600,EQUIPO MARKETPLACE,5300,perú,lima,181,2023,https://www.be-market.com/tiendaonline/webapp/detalle/generador/126506
IMPLEMENTO INCAPER  TOLVA DE VOLQUETE INTR15,EQUIPO MARKETPLACE,24500,perú,lima,N/A,2017,https://www.be-market.com/tiendaonline/webapp/detalle/implemento/148224
CARGADOR VOLVO  L150G,EQUIPO MARKETPLACE,100000,perú,lima,10000,2011,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/148077
RODILLO STORIKE  ST2500,EQUIPO MARKETPLACE,23700,perú,lima,125,2022,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/148517
MANIPULADOR MANITOU  MT-X1033 ST,SK RENTAL,64561,perú,lima,5645,2021,https://www.be-market.com/tiendaonline/webapp/detalle/manipulador/147827
MARTILLO HSUNTAY  ST35C,EQUIPO MARKETPLACE,2500,perú,lima,N/A,2021,https://www.be-market.com/tiendaonline/webapp/detalle/martillo/148356
CAMION VOLQUETE SINOTRUK  A7 420,EQUIPO MARKETPLACE,56800,perú,lima,4913,2021,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/148038
EXCAVADORA JCB  JS 330LC,EQUIPO MARKETPLACE,60000,perú,lima,13000,2007,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/136632
CAMION COMPACTADOR VOLKSWAGEN  CONSTELLATION 31.280 DC MAN E5,SK RENTAL,109842,perú,lima casa matriz,11928,2023,https://www.be-market.com/tiendaonline/webapp/detalle/camion-compactador/148188
MAQUINARIA CIVIL NORMET  TORNADO S2,EQUIPO MARKETPLACE,105000,perú,lima,660,2015,https://www.be-market.com/tiendaonline/webapp/detalle/maquinaria-civil/31589
