title,vendedor,precio,ubicacion_pais,ubicacion_ciudad,horometro,año_fabricacion,link
IMPLEMENTO BOBCAT  SWEEPER 72,EQUIPO MARKETPLACE,5500,perú,lima,N/A,2018,https://www.be-market.com/tiendaonline/webapp/detalle/implemento/147994
TRACTOR NEW HOLLAND  TD85F,EQUIPO MARKETPLACE,34414,perú,piura,N/A,2022,https://www.be-market.com/tiendaonline/webapp/detalle/tractor/148556
CARGADOR KOMATSU  WA420,EQUIPO MARKETPLACE,30000,perú,lima,10000,2000,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/136634
PLATAFORMA ARTICULADA HAULOTTE  HA260PX,SK RENTAL,57559,perú,arequipa,3017,2013,https://www.be-market.com/tiendaonline/webapp/detalle/plataforma-articulada/24498
COMPRESOR KAESER  M100,EQUIPO MARKETPLACE,19500,perú,lima,2740,2018,https://www.be-market.com/tiendaonline/webapp/detalle/compresor/147982
COMPRESOR ATLAS COPCO  XAS 186,EQUIPO MARKETPLACE,19500,perú,lima,2009,2016,https://www.be-market.com/tiendaonline/webapp/detalle/compresor/147981
TORRE ILUMINACION TEREX-AMIDA  RL4000,EQUIPO MARKETPLACE,2500,perú,lima,5420,2013,https://www.be-market.com/tiendaonline/webapp/detalle/torre-iluminacion/24915
GENERADOR CUMMINS  MH-132Ci,EQUIPO MARKETPLACE,21760,perú,lima,N/A,2023,https://www.be-market.com/tiendaonline/webapp/detalle/generador/148291
CAMION COMPACTADOR 75  CONSTELLATION 31.280 DC MAN E5,SK RENTAL,110000,perú,lima casa matriz,14135,2022,https://www.be-market.com/tiendaonline/webapp/detalle/camion-compactador/148284
MONTACARGAS TOYOTA  F62N25,EQUIPO MARKETPLACE,20500,perú,lima,1073,2022,https://www.be-market.com/tiendaonline/webapp/detalle/montacargas/147836
RODILLO JCB  VM 115,EQUIPO MARKETPLACE,40000,perú,lima,4010,2015,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/148056
CAMION VOLQUETE SINOTRUK  A7 420,EQUIPO MARKETPLACE,56800,perú,lima,4829,2021,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/148037
TRACTOR NEW HOLLAND  T4.85N,EQUIPO MARKETPLACE,43801,perú,piura,N/A,2022,https://www.be-market.com/tiendaonline/webapp/detalle/tractor/148487
RODILLO BOMAG  BW211D-40,EQUIPO MARKETPLACE,30000,perú,lima,3260,2008,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/46002
IMPLEMENTO CATERPILLAR  RODILLO COMPACTADOR CV16B,EQUIPO MARKETPLACE,6500,perú,lima,N/A,2014,https://www.be-market.com/tiendaonline/webapp/detalle/implemento/151907
EXCAVADORA DOOSAN  DX360,EQUIPO MARKETPLACE,153300,perú,lima,3569,2022,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/151849
MOTONIVELADORA CATERPILLAR  140G,EQUIPO MARKETPLACE,55084,perú,puerto maldonado,15000,1985,https://www.be-market.com/tiendaonline/webapp/detalle/motoniveladora/147960
GENERADOR OLYMPIAN  GEP13.5-4,EQUIPO MARKETPLACE,8000,perú,lima,8000,2009,https://www.be-market.com/tiendaonline/webapp/detalle/generador/149185
MANIPULADOR JCB  533-105,EQUIPO MARKETPLACE,40000,perú,lima,5302,2017,https://www.be-market.com/tiendaonline/webapp/detalle/manipulador/148055
CARGADOR CASE  821F,EQUIPO MARKETPLACE,84746,perú,arequipa metropolitana,16772,2016,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/148354
IMPLEMENTO CATERPILLAR  HORQUILLA 351-9371,EQUIPO MARKETPLACE,1000,perú,lima,N/A,2013,https://www.be-market.com/tiendaonline/webapp/detalle/implemento/151910
PLATAFORMA ARTICULADA HAULOTTE  HA41PXNT,SK RENTAL,63200,perú,arequipa,7305,2013,https://www.be-market.com/tiendaonline/webapp/detalle/plataforma-articulada/24048
IMPLEMENTO INCAPER  TOLVA DE VOLQUETE INTR15,EQUIPO MARKETPLACE,26500,perú,lima,N/A,2021,https://www.be-market.com/tiendaonline/webapp/detalle/implemento/148223
EXCAVADORA CATERPILLAR  EXCAVADORA,EQUIPO MARKETPLACE,135000,perú,lima,1172,2020,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/148547
CAMION COMPACTADOR VOLKSWAGEN  CONSTELLATION 31.280 DC MAN E5,SK RENTAL,85891,perú,lima casa matriz,14270,2022,https://www.be-market.com/tiendaonline/webapp/detalle/camion-compactador/148536
RODILLO CATERPILLAR  CS56,EQUIPO MARKETPLACE,62000,perú,piura,3940,2010,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/148484
PLATAFORMA TIJERAS HAULOTTE  COMPACT 12,SK RENTAL,13300,perú,lima,337,2018,https://www.be-market.com/tiendaonline/webapp/detalle/plataforma-tijeras/24195
MAQUINARIA CIVIL LORENZANA  HURON,EQUIPO MARKETPLACE,46000,perú,lima,1945,2015,https://www.be-market.com/tiendaonline/webapp/detalle/maquinaria-civil/31591
CARGADOR CATERPILLAR  950 L,EQUIPO MARKETPLACE,101700,perú,lima,6500,2017,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/149183
GENERADOR CUMMINS  C50D6,EQUIPO MARKETPLACE,10000,perú,piura,600,2018,https://www.be-market.com/tiendaonline/webapp/detalle/generador/148387
EXCAVADORA CATERPILLAR  330 D2L,EQUIPO MARKETPLACE,180000,perú,lima,8250,2018,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/54864
MINICARGADOR CATERPILLAR  236B3,EQUIPO MARKETPLACE,26000,perú,lima,4200,2010,https://www.be-market.com/tiendaonline/webapp/detalle/minicargador/151906
CAMION COMPACTADOR VOLKSWAGEN  CONSTELLATION 31.280 DC MAN E5,SK RENTAL,84382,perú,lima casa matriz,9990,2022,https://www.be-market.com/tiendaonline/webapp/detalle/camion-compactador/148537
MONTACARGAS NISSAN  02ZJ1F4A440,EQUIPO MARKETPLACE,14200,perú,lima,24456,2013,https://www.be-market.com/tiendaonline/webapp/detalle/montacargas/147875
CAMION HORMIGONERO CARMIX  3.5 TT,EQUIPO MARKETPLACE,60000,perú,lima,5500,2013,https://www.be-market.com/tiendaonline/webapp/detalle/camion-hormigonero/147426
MOTONIVELADORA CATERPILLAR  140K,EQUIPO MARKETPLACE,102330,perú,puno,10406,2014,https://www.be-market.com/tiendaonline/webapp/detalle/motoniveladora/147759
MARTILLO WIN  SM 400,EQUIPO MARKETPLACE,18000,perú,lima,N/A,2022,https://www.be-market.com/tiendaonline/webapp/detalle/martillo/62054
CAMION VOLQUETE SINOTRUK  A7 420,EQUIPO MARKETPLACE,56800,perú,lima,4893,2021,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/148046
MANIPULADOR MANITOU  MT-X1033 ST,SK RENTAL,65941,perú,lima,6300,2021,https://www.be-market.com/tiendaonline/webapp/detalle/manipulador/148236
CARGADOR VOLVO  L120 F,EQUIPO MARKETPLACE,132000,perú,lima,7000,2019,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/147762
TORRE ILUMINACION STORIKE  4VA4000,EQUIPO MARKETPLACE,6100,perú,lima,N/A,2024,https://www.be-market.com/tiendaonline/webapp/detalle/torre-iluminacion/148522
EXCAVADORA VOLVO  EC220 EL,EQUIPO MARKETPLACE,55000,perú,lima,12000,2002,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/136631
CARGADOR CATERPILLAR  966C,EQUIPO MARKETPLACE,33898,perú,puerto maldonado,14500,1972,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/147957
GENERADOR CUMMINS  C100D6,EQUIPO MARKETPLACE,15000,perú,lima,980,2022,https://www.be-market.com/tiendaonline/webapp/detalle/generador/106277
